Step,Time,Position_X,Position_Y,Position_Z,Tracking_Error_Norm,Control_Input_X,Control_Input_Y,Control_Input_Z
2.4299999999999917,26.467971576,0.36274943,-3.0015404,8.265218,1.9339231,26.08288,33.6092,-6.4518766
2.4399999999999915,26.651882354,0.6984702,-2.9633145,8.2267,1.8211095,15.710165,33.434196,-5.4349313
2.4499999999999913,26.843531763,0.99717027,-2.869852,8.181645,1.7265512,6.5176787,31.163216,-4.1625676
2.459999999999991,27.024246271,1.2953194,-2.7233927,8.163892,1.6291143,-2.1449876,27.015858,-3.3930216
2.469999999999991,27.195754057,1.5323184,-2.537869,8.122995,1.5364016,-9.133984,21.567509,-2.2296777
2.4799999999999907,27.393582991,1.788599,-2.2593734,8.104134,1.4391485,-16.187948,13.790649,-1.5369473
2.4899999999999904,27.595692911,1.963346,-1.9287915,8.097918,1.3724408,-20.717743,4.358903,-1.1289735
2.4999999999999902,27.786231559,2.0329804,-1.6152923,8.106592,1.3662595,-21.501404,-5.4717474,-1.0442346
2.50999999999999,27.975118045,2.0049949,-1.2604882,8.141388,1.415107,-17.88648,-15.718611,-1.5263451
2.51999999999999,28.166233186,1.8625313,-0.9957506,8.187962,1.5134813,-10.146524,-23.869131,-2.1839628
2.5299999999999896,28.372066822,1.5969958,-0.7734738,8.224825,1.6985611,5.510928,-28.845001,-3.0108924
2.5399999999999894,28.555084994,1.3250698,-0.7155774,8.256383,1.9072222,19.189133,-27.313202,-4.1805606
2.549999999999989,28.748829526,1.0703319,-0.7528929,8.267783,2.0648208,32.462708,-21.50455,-5.1086006
2.559999999999989,28.928378613,0.86737895,-0.90225714,8.2873125,2.1742814,43.03425,-12.00627,-6.207039
2.5699999999999887,29.111063457,0.76204604,-1.0929263,8.306575,2.237743,49.460564,-2.180986,-7.0534005
2.5799999999999885,29.278103486,0.7661226,-1.2903159,8.299285,2.2523189,52.068695,8.064006,-7.2278967
2.5899999999999883,29.452883229,0.8635222,-1.5052073,8.286511,2.2431045,50.48893,20.031782,-7.257016
2.599999999999988,29.632425171,1.0351837,-1.6569856,8.258395,2.2076356,45.280025,29.059664,-6.813344
2.609999999999988,29.812475606,1.2711906,-1.7656385,8.234441,2.1665397,36.785915,36.276253,-6.3142147
2.6199999999999877,29.978412015,1.5004767,-1.8120885,8.222038,2.1239297,27.590015,40.5271,-5.8994155
2.6299999999999875,30.166333537,1.7718519,-1.8169882,8.221199,2.0645125,17.032368,42.835106,-5.5645638
2.6399999999999872,30.346938473,2.0525925,-1.7489039,8.227696,1.9858845,6.1530128,42.314037,-5.2537336
2.649999999999987,30.519845019,2.3043556,-1.620192,8.227456,1.8990012,-3.690241,39.36869,-4.7905326
2.659999999999987,30.697925314,2.5432274,-1.4200712,8.235081,1.7832851,-12.782079,34.23468,-4.540277
2.6699999999999866,30.871829649,2.7190762,-1.1954827,8.232704,1.676664,-20.150747,28.159313,-4.185755
2.6799999999999864,31.053162781,2.849861,-0.92104805,8.217903,1.5645193,-25.269077,20.973845,-3.7393928
2.689999999999986,31.235231735,2.9256654,-0.6167549,8.214105,1.4511725,-29.169888,11.761022,-3.367002
2.699999999999986,31.414952477,2.9365735,-0.30259067,8.230546,1.3740561,-29.374748,1.9305935,-3.554702
2.7099999999999858,31.606439549,2.8418183,0.047487624,8.247687,1.3321675,-26.006481,-11.116281,-3.3170774
