Time,Position_X,Position_Y,Position_Z
29.431111427,-24.6944,-0.9665481,8.0
29.49919891,-24.681454,-0.9350629,8.0
29.56111599,-24.670052,-0.90628034,8.0
29.632065248,-24.657427,-0.8731289,8.0
29.702326341,-24.64539,-0.840125,8.0
29.773690008,-24.633638,-0.80643404,8.0
29.838056244,-24.623455,-0.7759054,8.0
29.900640674,-24.613928,-0.7460982,8.0
29.974613929,-24.603151,-0.7107175,8.0
30.041342104,-24.59388,-0.6786675,8.0
30.109034685,-24.584913,-0.64603025,8.0
30.184689672,-24.575415,-0.60941505,8.0
30.261760399,-24.566309,-0.571971,8.0
30.336986238,-24.55798,-0.5352924,8.0
30.422137284,-24.549217,-0.49362853,8.0
30.487468331,-24.542978,-0.46156585,8.0
30.558593928,-24.536661,-0.42656922,8.0
30.624581168,-24.531246,-0.39402324,8.0
30.687877726,-24.526455,-0.36273924,8.0
30.746976423,-24.52234,-0.33347768,8.0
30.80878407,-24.518408,-0.30282533,8.0
30.868988744,-24.514942,-0.2729242,8.0
30.939936235,-24.51132,-0.23763564,8.0
31.014088065,-24.50807,-0.20070344,8.0
31.09017016,-24.505304,-0.1627624,8.0
31.161357059,-24.503239,-0.12722911,8.0
31.230930753,-24.50171,-0.092476524,8.0
31.301005157,-24.50066,-0.057455767,8.0
31.369558786,-24.500107,-0.023183055,8.0
31.431208223,-24.500011,0.007640549,8.0
31.491412159,-24.500284,0.037740663,8.0
31.552550337,-24.500933,0.06830363,8.0
31.627316923,-24.502234,0.10566467,8.0
31.692969073,-24.503838,0.13845076,8.0
31.754032502,-24.505714,0.1689247,8.0
31.828824451,-24.50852,0.2062149,8.0
31.894168394,-24.511427,0.23875672,8.0
31.951202025,-24.514313,0.26712748,8.0
32.015141131,-24.517931,0.2988901,8.0
32.075239003,-24.521704,0.32870138,8.0
32.134200139,-24.525751,0.35790354,8.0
32.206727872,-24.531202,0.39375338,8.0
32.272416812,-24.536589,0.42615306,8.0
32.347610028,-24.543276,0.46315062,8.0
32.413582429,-24.5496,0.49552476,8.0
32.476204515,-24.556,0.5261742,8.0
32.535456909,-24.562407,0.5551,8.0
32.608819609,-24.570812,0.5908041,8.0
32.669870685,-24.578209,0.6204217,8.0
32.734143756,-24.586384,0.65149957,8.0
32.810659733,-24.596636,0.6883589,8.0
32.879838883,-24.606388,0.72154236,8.0
32.950615937,-24.616842,0.7553526,8.0
33.015499758,-24.626844,0.7862136,8.0
33.091660559,-24.639095,0.822269,8.0
33.161462953,-24.650805,0.85514915,8.0
33.236389671,-24.663881,0.89025366,8.0
33.302335939,-24.675827,0.92098826,8.0
33.376587139,-24.689758,0.9553986,8.0
33.453184419,-24.704666,0.9906776,8.0
33.520891646,-24.718292,1.0216686,8.0
33.594628613,-24.733604,1.0552038,8.0
33.681483116,-24.752277,1.0944136,8.0
33.744900043,-24.766338,1.1228325,8.0
33.815715331,-24.782463,1.1543543,8.0
33.885817427,-24.798866,1.1853317,8.0
33.957059431,-24.815977,1.2165718,8.0
